year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1999.855,-8.97,,,
1999.8822,-8.55,,,
1999.9092,-4.45,,,
1999.9636,4.45,,,
1999.9907,3.93,,,
2000.0178,-3.59,,,
2000.045,-2.58,,,
2000.0721,4.91,,,
2000.0993,2.88,,,
2000.1264,1.04,,,
2000.1536,-1.69,,,
2000.1807,-6.24,,,
2000.2078,-6.45,,,
2000.235,2.03,,,
2000.2894,0.97,,,
2000.3165,-4.64,,,
2000.3436,-8.67,,,
2000.3707,-7.67,,,
2000.3978,-3.39,,,
2000.425,1.39,,,
2000.4522,0.41,,,
2000.4794,-2.81,,,
2000.5065,-4.82,,,
2000.5337,-2.04,,,
2000.5879,-0.19,,,
2000.6149,0.38,,,
2000.6423,-2.6,,,
2000.6694,-9.69,,,
2000.6965,-6.7,,,
2000.7235,1.7,,,
2000.7509,5.77,,,
2000.778,4.13,,,
2000.8051,-3.49,,,
2000.8595,-2.96,,,
2000.886,0.79,,,
2000.9145,3.7,,,
2000.9409,2.38,,,
2000.9681,-0.22,,,
2000.9952,0.85,,,
2001.0222,2.1,,,
2001.0766,5.54,,,
2001.1038,2.67,,,
2001.1309,-3.81,,,
2001.1581,-2.65,,,
2001.1852,3.48,,,
2001.2124,2.46,,,
2001.2395,6.35,,,
2001.2666,3.79,,,
2001.2937,0.71,,,
2001.321,-3.08,,,
2001.3482,-0.9,,,
2001.3752,5,,,
2001.4024,5.26,,,
2001.4296,3.93,,,
2001.4567,-0.99,,,
2001.484,4.34,,,
2001.511,6.78,,,
2001.5381,10.91,,,
2001.5653,7.43,,,
2001.5924,8.07,,,
2001.6195,0.21,,,
2001.6468,-1.78,,,
2001.6738,2.04,,,
2001.701,10.75,,,
2001.7283,10.38,,,
2001.7553,7.53,,,
2001.7825,-0.35,,,
2001.8096,-4.3,,,
2001.8368,3.48,,,
2001.8639,8.96,,,
2001.8918,7.92,,,
2001.9182,5.47,,,
2001.9454,0.61,,,
2001.9725,0.91,,,
2001.9996,8.96,,,
2002.027,6.9,,,
2002.0537,,0.35,,
2002.054,5.94,,,
2002.0811,5.36,,,
2002.0819,,7.07,,
2002.1083,0.66,8.55,,
2002.1352,,9.36,,
2002.1354,2.55,,,
2002.1626,7.37,8.51,,
2002.1897,8,,,
2002.1898,,2.7,,
2002.2168,8.28,,,
2002.2169,,4.47,,
2002.2438,,3.26,,
2002.244,2.67,,,
2002.2711,0.82,,,
2002.2713,,8.11,,
2002.2983,,3.83,,
2002.2988,-2.74,,,
2002.3254,4.08,4.64,,
2002.3525,,4.35,,
2002.3527,8.06,,,
2002.3797,8.16,6.23,,
2002.4069,6.22,5.36,,
2002.434,-0.35,2.8,,
2002.4611,4.2,6.2,,
2002.4883,13.99,8.73,,
2002.5155,,6.45,,
2002.5426,10.35,8.65,,
2002.5697,7.22,10.83,,
2002.5969,5.62,11.01,,
2002.6239,7.74,,,
2002.624,,11.45,,
2002.6512,,8.19,,
2002.6551,11.2,,,
2002.6783,11.36,,,
2002.6784,,5.93,,
2002.7055,,5.76,,
2002.7064,10.56,,,
2002.7326,7.59,,,
2002.7327,,8.24,,
2002.7598,,6.37,,
2002.7599,-0.82,,,
2002.7863,7.29,,,
2002.7869,,10,,
2002.8141,,12.68,,
2002.8143,15.2,,,
2002.8413,,5.03,,
2002.8415,12.36,,,
2002.8684,11.69,5.64,,
2002.8943,,9.63,,
2002.8962,11.79,,,
2002.9227,12.18,8.87,,
2002.9498,13.34,9.16,,
2002.977,14.04,7.18,,
2003.0041,,6.83,,
2003.0042,15.38,,,
2003.0312,12.08,,,
2003.0313,,6.94,,
2003.0584,12.99,12.05,,
2003.0856,8.47,12.2,,
2003.1127,13.73,14.68,,
2003.1398,11.29,,,
2003.1399,,9.37,,
2003.167,15.4,,,
2003.1671,,7.59,,
2003.1942,15.31,9.65,,
2003.2212,9.59,,,
2003.2213,,10.81,,
2003.2484,9.89,,,
2003.2485,,9.69,,
2003.2756,10.25,,,
2003.2799,,9.75,,
2003.3028,13.7,7.45,,
2003.3299,16.84,,,
2003.33,,8.36,,
2003.357,18.23,9.87,,
2003.3842,13.73,10.24,,
2003.4113,,10.16,,
2003.4114,9.77,,,
2003.4385,12.38,7.38,,
2003.4657,17.08,8.25,,
2003.4928,15.13,5.95,,
2003.52,11.16,6.63,,
2003.547,11.39,,,
2003.5471,,10.49,,
2003.5741,5.51,,,
2003.5742,,8.94,,
2003.6014,11.97,10.19,,
2003.6286,12.55,7.21,,
2003.6556,16.26,,,
2003.6557,,9.95,,
2003.6827,14.6,,,
2003.6829,,11.5,,
2003.71,5.07,11.64,,
2003.7371,,11.36,,
2003.7372,5.99,,,
2003.7642,9.96,,,
2003.7643,,13.43,,
